layer,position,kind,logit_diff_base,logit_diff_donor,logit_diff_patched,recovery,set,entity_id,model
0,-6,real,-42.71637010574341,7.559791564941406,-42.70547580718994,0.00021668914633590812,forget,for_000,M_npo_s2
0,-5,real,-42.71637010574341,7.559791564941406,-42.6648383140564,0.0010249746594529518,forget,for_000,M_npo_s2
0,-4,real,-42.71637010574341,7.559791564941406,-42.71555042266846,1.6303612839822563e-05,forget,for_000,M_npo_s2
0,-3,real,-42.71637010574341,7.559791564941406,-42.70905113220215,0.00014557542378035863,forget,for_000,M_npo_s2
0,-2,real,-42.71637010574341,7.559791564941406,-42.67975568771362,0.0007282659776140868,forget,for_000,M_npo_s2
0,-1,real,-42.71637010574341,7.559791564941406,-42.67757511138916,0.0007716379505730796,forget,for_000,M_npo_s2
0,-13,random_position,-42.71637010574341,7.559791564941406,-42.70066165924072,0.00031244323314850184,forget,for_000,M_npo_s2
1,-6,real,-42.71637010574341,7.559791564941406,-42.68872404098511,0.000549884156618518,forget,for_000,M_npo_s2
1,-5,real,-42.71637010574341,7.559791564941406,-42.586626052856445,0.0025806276488806517,forget,for_000,M_npo_s2
1,-4,real,-42.71637010574341,7.559791564941406,-42.69921064376831,0.0003413041370877572,forget,for_000,M_npo_s2
1,-3,real,-42.71637010574341,7.559791564941406,-42.70883369445801,0.00014990029140977057,forget,for_000,M_npo_s2
1,-2,real,-42.71637010574341,7.559791564941406,-42.65855121612549,0.0011500259307112768,forget,for_000,M_npo_s2
1,-1,real,-42.71637010574341,7.559791564941406,-42.6365442276001,0.0015877480597301778,forget,for_000,M_npo_s2
1,-3,random_position,-42.71637010574341,7.559791564941406,-42.70883369445801,0.00014990029140977057,forget,for_000,M_npo_s2
2,-6,real,-42.71637010574341,7.559791564941406,-42.68549346923828,0.0006141406877353289,forget,for_000,M_npo_s2
2,-5,real,-42.71637010574341,7.559791564941406,-42.493385791778564,0.004435189691397268,forget,for_000,M_npo_s2
2,-4,real,-42.71637010574341,7.559791564941406,-42.68599843978882,0.0006040967517275499,forget,for_000,M_npo_s2
2,-3,real,-42.71637010574341,7.559791564941406,-42.70949697494507,0.0001367075482682969,forget,for_000,M_npo_s2
2,-2,real,-42.71637010574341,7.559791564941406,-42.62097644805908,0.001897393407021933,forget,for_000,M_npo_s2
2,-1,real,-42.71637010574341,7.559791564941406,-42.5797553062439,0.0027172877753547666,forget,for_000,M_npo_s2
2,-9,random_position,-42.71637010574341,7.559791564941406,-42.230530738830566,0.009663414046902602,forget,for_000,M_npo_s2
3,-6,real,-42.71637010574341,7.559791564941406,-42.6937141418457,0.00045063034139528177,forget,for_000,M_npo_s2
3,-5,real,-42.71637010574341,7.559791564941406,-42.48140335083008,0.0046735221445979086,forget,for_000,M_npo_s2
